"pwsid","pw_int_hh.redlining","pw_int_pop.life_expectancy","pw_int_pop.cancer","a_int.overall_cvi_score"
"CT0320011",0,79.7,6.6,0.38
"CT0320021",0,79.7,6.6,0.38
"CT0320031",0,79.7,6.6,0.38
"CT0320041",0,83.2,7,0.38
"CT0320051",0,79.7,6.6,0.38
"CT0320061",0,83.2,7,0.38
"CT0320071",0,83.2,7,0.38
"CT0320091",0,83.2,7,0.38
"CT0320171",0,79.7,6.6,0.38
"CT0320181",0,79.7,6.6,0.38
"CT0330011",0,81.5,7.9,0.44
"CT0340011",0,80.8,5.7,0.46
"CT0340051",0,83.4,7.2,0.42
"CT0340081",0,85.3,7.4,0.41
"CT0340111",0,83.4,7.3,0.4
"CT0340131",0,83.4,7.3,0.41
"CT0340141",NA,NA,NA,0.4
"CT0340151",0,82.6,7.4,0.47
"CT0340171",0,82.1,7.3,0.44
"CT0340181",0,82.5,7.4,0.46
"CT0340191",0,83.4,7.3,0.41
"CT0340211",0,82.1,7.3,0.44
"CT0340231",0,83.4,7.3,0.4
"CT0340251",0,82.5,7.4,0.44
"CT0340271",0,82.8,5.4,0.44
"CT0347031",0,82.1,7.3,0.44
"CT0350011",0,84.9,7.7,0.42
"CT0378011",0,80.3,8,0.5
"CT0380021",0,81.1,7.7,0.41
"CT0380641",NA,NA,NA,0.41
"CT0380651",NA,NA,NA,0.41
"CT0381011",NA,NA,NA,0.41
"CT0400031",0,83.4,7.7,0.44
"CT0400041",0,83.4,7.7,0.44
"CT0400051",NA,NA,NA,0.44
"CT0400061",NA,NA,NA,0.44
"CT0408011",0,83.4,7.7,0.44
"CT0410744",0,81.5,7.6,0.39
"CT0411061",NA,NA,NA,0.39
"CT0413011",NA,NA,NA,0.39
"CT0418011",0,85.9,7.6,0.38
"CT0419211",0,85.9,7.6,0.38
"CT0419241",0,78.7,8.1,0.47
"CT0420011",0,84.3,7.2,0.39
"CT0420021",0,84.3,7.2,0.39
"CT0420031",NA,NA,NA,0.39
"CT0420071",NA,NA,NA,0.39
"CT0421001",NA,NA,NA,0.4
"CT0421011",0,82.7,8,0.41
"CT0424011",0,82.7,8,0.41
"CT0427011",NA,NA,NA,0.39
"CT0427021",0,84.3,7.2,0.39
"CT0428031",0,84.3,7.2,0.39
"CT0429011",0,81.5,7.1,0.38
"CT0429031",0,81.3,7.5,0.4
"CT0429121",0,79.7,7,0.38
"CT0450011",0,80.9,8,0.43
"CT0470021",0,80.7,7.1,0.46
"CT0470071",0,80.7,7.1,0.46
"CT0473011",0,79.9,7.2,0.44
"CT0490021",0,79.8,8,0.44
"CT0490031",0,NA,4.4,0.45
"CT0490041",0,NA,5.3,0.48
"CT0500011",0,82.1,9.7,0.4
"CT0500021",0,82.1,9.7,0.4
"CT0501001",0,82.1,9.7,0.4
"CT0520011",0,81.9,7.8,0.42
"CT0529051",0,80.9,8.3,0.43
"CT0550011",0,82.6,8.7,0.38
"CT0550321",NA,NA,NA,0.38
"CT0560011",0,81.5,9.2,0.41
"CT0570011",0,79.1,8.2,0.47
"CT0579143",0,81,9.9,0.42
"CT0580011",0,75.9,6.4,0.5
"CT0580021",0,80.1,6.8,0.46
"CT0580031",0,80.1,6.8,0.46
"CT0580041",0,80.1,6.8,0.46
"CT0580051",0,80.1,6.8,0.46
"CT0580061",0,75.4,6.4,0.53
"CT0590011",0,78.8,5.9,0.47
"CT0590031",0,77.5,10.4,0.42
"CT0590051",0,NA,10.4,0.41
"CT0590071",0,81.9,7.3,0.48
"CT0597021",0,77.5,6.9,0.53
"CT0600041",0,84.6,7.6,0.4
"CT0606011",0,84.6,7.6,0.4
"CT0608011",0,81.3,9.4,0.43
"CT0614021",NA,NA,NA,0.4
"CT0640011",1,79.6,6.9,0.46
"CT0660341",0,81.1,8.5,0.41
"CT0670011",0,82.7,7.2,0.36
"CT0670021",NA,NA,NA,0.36
"CT0670041",NA,NA,NA,0.36
"CT0670051",0,86.1,6.9,0.35
"CT0670331",0,84.5,6.9,0.37
"CT0671021",NA,NA,NA,0.34
"CT0672021",0,86.1,6.9,0.34
"CT0672031",0,83.5,7.1,0.36
"CT0680011",0,81.6,9.3,0.42
"CT0680021",NA,81.6,9.3,0.42
"CT0680031",0,81.6,9.3,0.42
"CT0680082",0,81.6,9.3,0.42
"CT0688011",0,81.6,9.3,0.42
"CT0690011",0,77.6,7.5,0.47
"CT0690051",0,80,7.3,0.44
"CT0690061",0,80,7.3,0.44
"CT0690071",0,79.4,7.6,0.46
"CT0690141",NA,NA,NA,0.44
"CT0699231",0,NA,7.3,0.42
"CT0700011",0,84.5,8.6,0.39
"CT0709133",0,81.1,7.7,0.41
"CT0710011",0,79.8,7.1,0.41
"CT0710021",0,79.8,7.1,0.41
"CT0711001",NA,NA,NA,0.41
"CT0711071",NA,NA,NA,0.41
"CT0720011",0,80.6,6.8,0.44
"CT0720041",0,83.2,7.3,0.46
"CT0720101",NA,NA,NA,0.46
"CT0720313",NA,NA,NA,0.44
"CT0727031",0,80.6,6.8,0.44
"CT0727051",0,83.2,7.3,0.46
"CT0727091",0,80.6,6.8,0.44
"CT0730021",0,81.2,7.6,0.47
"CT0730031",0,81.2,7.6,0.47
"CT0731011",NA,NA,NA,0.47
"CT0731021",0,79.3,7.7,0.43
"CT0740011",0,82.1,9,0.42
"CT0740301",NA,NA,NA,0.42
"CT0743011",0,81.2,8.9,0.4
"CT0745093",0,78.2,8.8,0.45
"CT0760021",0,82.9,8.4,0.42
"CT0765101",0,82.8,8.6,0.42
"CT0770021",0,79.5,6.6,0.44
"CT0770041",0,80.2,6.7,0.47
"CT0780021",0,82,1.4,0.41
"CT0780041",NA,NA,NA,0.41
"CT0780051",NA,NA,NA,0.41
"CT0780061",0,NA,3.7,0.42
"CT0780081",NA,NA,NA,0.39
"CT0780091",0,NA,3.7,0.42
"CT0780101",0,NA,3.7,0.42
"CT0780121",0,81.9,6.5,0.41
"CT0780131",NA,NA,NA,0.39
"CT0780161",NA,NA,NA,0.4
"CT0780171",0,NA,3.7,0.42
"CT0780181",0,NA,3.7,0.42
"CT0780211",0,NA,3.7,0.42
"CT0780251",NA,NA,NA,0.39
"CT0787011",0,NA,3.7,0.42
"CT0787091",0,82.4,8.8,0.43
"CT0787111",0,78.4,6.2,0.42
"CT0787121",0,85.9,7.6,0.38
"CT0790011",0,77.9,7.6,0.4
"CT0790031",NA,NA,NA,0.4
"CT0790041",0,77.9,7.6,0.4
"CT0791001",0,77.9,7.6,0.4
"CT0791201",NA,NA,NA,0.4
"CT0792011",0,77.9,7.6,0.4
"CT0798013",0,84.8,7.9,0.43
"CT0800011",0,78.7,6.6,0.48
"CT0815051",0,NA,8.9,0.47
"CT0819061",0,85.4,7.8,0.42
"CT0820031",NA,NA,NA,0.42
"CT0820501",NA,NA,NA,0.42
"CT0826061",0,82.2,8.2,0.42
"CT0827071",0,82.2,8.2,0.42
"CT0827081",0,82.2,8.2,0.42
"CT0830011",0,78.5,6.4,0.45
"CT0830021",0,77.7,7.9,0.47
"CT0860011",0,78.7,6.9,0.45
"CT0860021",0,79,7.5,0.53
"CT0860031",0,78.7,6.9,0.46
"CT0860041",0,85,4.8,0.53
"CT0860051",0,78.7,6.9,0.45
"CT0860081",0,84.7,7.6,0.5
"CT0860091",NA,NA,NA,0.45
"CT0860131",0,84.7,7.6,0.5
"CT0860141",NA,NA,NA,0.53
"CT0860171",0,78.7,6.9,0.45
"CT0860191",0,84.7,7.6,0.5
"CT0860211",NA,NA,NA,0.5
"CT0861021",0,84.7,7.6,0.51
"CT0861051",NA,NA,NA,0.53
"CT0861111",0,79.6,7,0.48
"CT0861251",0,78.7,6.9,0.45
"CT0864011",0,81.6,6.6,0.52
"CT0866301",0,78.7,6.9,0.45
"CT0867071",NA,NA,NA,0.5
"CT0867101",0,84.5,7.6,0.49
"CT0868011",0,78.7,6.9,0.45
"CT0869011",NA,NA,NA,0.53
"CT0869121",NA,NA,NA,0.45
"CT0878011",0,NA,NA,0.38
"CT0878021",0,78.6,8.1,0.37
"CT0880011",0,80.3,7,0.49
"CT0880031",0,79,7.7,0.5
"CT0890011",2,76.8,6.2,0.49
"CT0900011",0,82.3,8.6,0.36
"CT0910011",0,81.9,7,0.38
"CT0910021",0,81.9,7,0.39
"CT0910031",0,81.9,7,0.38
"CT0910041",0,85.9,7.5,0.4
"CT0910081",0,85.9,7.5,0.4
"CT0910591",0,85.9,7.5,0.39
"CT0911061",NA,NA,NA,0.39
"CT0911091",0,85.9,7.5,0.4
"CT0915221",0,81.7,7.6,0.38
"CT0920011",0,83.1,7.6,0.41
"CT0920041",NA,NA,NA,0.4
"CT0930011",2,79.2,6.7,0.48
"CT0950011",0,77.2,5.3,0.5
"CT0960011",0,80,7.3,0.42
"CT0960031",0,81.7,6.7,0.42
"CT0960061",0,79.4,7.5,0.4
"CT0960071",0,80.9,7.5,0.41
"CT0960091",0,79.4,7.5,0.41
"CT0960101",0,79.4,7.5,0.41
"CT0960141",0,79.4,7.5,0.39
"CT0960151",0,79.4,7.5,0.41
"CT0960161",0,83.7,7.1,0.39
"CT0960171",0,79.7,7.6,0.41
"CT0960191",0,83.7,7.1,0.39
"CT0960201",0,83.7,7.1,0.39
"CT0960211",0,79.4,7.5,0.4
"CT0960301",0,83.7,7.1,0.39
"CT0968011",0,79.4,7.5,0.41
"CT0969361",NA,NA,NA,0.38
"CT0970011",NA,NA,NA,0.43
"CT0970021",0,80.6,7.7,0.43
"CT0970071",0,83.1,8,0.4
"CT0971011",0,80.6,7.7,0.43
"CT0980011",0,85.6,9.2,0.41
"CT0990011",0,80.5,7.8,0.44
"CT0990031",0,80.1,7.9,0.46
"CT1000011",0,74.4,8.3,0.47
"CT1020011",0,79.9,7.9,0.45
"CT1020021",0,79.9,7.9,0.45
"CT1021001",0,79.9,7.9,0.45
"CT1030011",0,82.3,6.8,0.42
"CT1030021",0,82.3,6.1,0.43
"CT1040011",0,77.2,6.6,0.5
"CT1040091",0,79.3,7.3,0.52
"CT1041001",0,79.3,7.3,0.51
"CT1050011",0,NA,9.1,0.45
"CT1050131",0,82.2,9.6,0.43
"CT1050141",0,82.2,9.6,0.43
"CT1050732",0,NA,9.1,0.45
"CT1050752",0,NA,9.1,0.45
"CT1051011",0,82.2,9.6,0.43
"CT1056221",NA,NA,NA,0.45
"CT1056231",NA,NA,NA,0.43
"CT1056241",NA,NA,NA,0.45
"CT1059251",NA,NA,NA,0.43
"CT1080011",0,80.7,7.3,0.45
"CT1090031",0,77.5,7.5,0.49
"CT1090081",0,79.9,6.9,0.48
"CT1090161",0,78.1,7,0.48
"CT1090221",0,82,6.7,0.48
"CT1094201",0,82,6.7,0.48
"CT1099131",NA,NA,NA,0.48
"CT1099141",0,82,6.7,0.48
"CT1099181",NA,NA,NA,0.48
"CT1100011",0,79.3,7.5,0.48
"CT1110011",0,77.9,7.2,0.44
"CT1120041",NA,NA,NA,0.41
"CT1120051",0,NA,7.5,0.41
"CT1120061",0,NA,7.5,0.41
"CT1121011",NA,NA,NA,0.41
"CT1121131",0,NA,7.5,0.41
"CT1130011",0,79.2,8.1,0.44
"CT1130021",0,84.8,7.9,0.43
"CT1140011",0,79,8.1,0.5
"CT1140021",NA,NA,NA,0.5
"CT1150031",0,80.6,8.2,0.45
"CT1160011",0,76,7.3,0.44
"CT1160021",NA,NA,NA,0.43
"CT1180011",0,82.9,8.3,0.37
"CT1180021",0,84.6,7.9,0.37
"CT1180041",0,80.9,9.1,0.4
"CT1180091",0,84.6,7.9,0.36
"CT1189161",NA,NA,NA,0.39
"CT1189171",0,82.2,7.5,0.38
"CT1200071",0,NA,8.9,0.37
"CT1210011",NA,NA,NA,0.42
"CT1210021",0,83.7,6.8,0.42
"CT1219111",NA,NA,NA,0.42
"CT1219141",0,83.7,6.8,0.42
"CT1220011",0,79.5,10.4,0.39
"CT1220061",NA,NA,NA,0.39
"CT1221031",0,79.5,10.4,0.39
"CT1240011",0,78.2,7.6,0.48
"CT1250011",0,81.1,9.7,0.41
"CT1270021",0,81.8,8.5,0.37
"CT1280011",0,84.6,7.5,0.4
"CT1280021",0,81.9,8.3,0.39
"CT1280051",0,82.3,8.8,0.39
"CT1299031",0,81.2,7.7,0.41
"CT1300011",0,81.6,7.9,0.48
"CT1300021",0,81.6,12.7,0.45
"CT1300031",0,84.3,7,0.44
"CT1300071",0,81.6,7.9,0.48
"CT1310011",0,80.7,8.2,0.45
"CT1310031",0,78.6,7.6,0.48
"CT1330021",0,80.3,6.6,0.47
"CT1340011",0,76.2,6.7,0.42
"CT1340032",0,79.8,7.8,0.44
"CT1341303",0,82,8.2,0.39
"CT1350011",0,86.8,7.5,0.35
"CT1360011",0,81.6,6.2,0.42
"CT1370011",0,83.5,9.5,0.44
"CT1370051",0,86.8,11.1,0.43
"CT1370071",0,75.7,8.2,0.46
"CT1390021",0,82.5,8,0.4
"CT1400011",0,79.9,7.6,0.43
"CT1410011",0,82.1,7.9,0.45
"CT1410051",NA,79.3,7.7,0.43
"CT1410661",0,79.3,7.7,0.43
"CT1411041",0,82.1,7.9,0.45
"CT1419071",0,82.1,7.9,0.45
"CT1419081",0,79.3,7.7,0.43
"CT1420021",0,NA,7.2,0.37
"CT1420041",0,81.4,7.2,0.38
"CT1420081",0,81.4,7.2,0.38
"CT1423011",0,81.4,7.2,0.38
"CT1429171",0,81.4,7.2,0.38
"CT1429191",0,81.4,7.2,0.38
"CT1429201",NA,NA,NA,0.38
"CT1430011",0,77.2,7.7,0.44
"CT1440021",0,82.3,9.5,0.39
"CT1462011",0,81.4,8.5,0.41
"CT1463011",0,81.5,8.3,0.43
"CT1470011",0,84.4,7,0.42
"CT1479021",0,84.4,7,0.42
"CT1480011",0,80.5,7.8,0.46
"CT1490021",0,NA,8.7,0.38
"CT1500011",0,82.6,9.1,0.38
"CT1500021",0,82.6,9.1,0.38
"CT1500031",0,82.6,9.1,0.38
"CT1500051",0,82.6,9.1,0.38
"CT1500091",0,82.6,9.1,0.38
"CT1500321",NA,NA,NA,0.38
"CT1500341",NA,NA,NA,0.38
"CT1501111",0,82.6,9.1,0.38
"CT1510011",3,76.8,6.4,0.55
"CT1520061",0,81.7,8.6,0.44
"CT1520071",0,79.4,8.4,0.45
"CT1530011",2,79.7,8.2,0.41
"CT1530021",2,79.6,7.8,0.44
"CT1539031",2,80.5,8,0.41
"CT1548011",0,82.4,8.8,0.43
"CT1570011",0,86.8,7.5,0.35
"CT1600031",NA,NA,NA,0.43
"CT1600041",NA,NA,NA,0.43
"CT1600051",NA,NA,NA,0.43
"CT1600061",0,80.6,6.1,0.43
"CT1600071",NA,NA,NA,0.43
"CT1600101",NA,NA,NA,0.43
"CT1606111",NA,NA,NA,0.43
"CT1606211",NA,NA,NA,0.43
"CT1609111",0,80.6,6.4,0.42
"CT1609141",NA,NA,NA,0.43
"CT1620011",0,79.6,7.8,0.46
"CT1630011",0,77.9,5.3,0.46
"CT1630021",0,77.4,8.3,0.49
"CT1631031",0,77.4,8.3,0.49
"CT1660011",0,79.1,8.2,0.47
"CT1661423",2,78.5,7.2,0.48
"CT1662051",0,80,7.7,0.48
"CT1666011",NA,NA,NA,0.47
"CT1668011",0,80,7.7,0.48
"CT1669011",0,77.9,7.6,0.48
"CT1680011",0,82.4,8.6,0.4
"CT1680021",0,81.5,8.6,0.39
"CT1680031",0,81.5,8.6,0.4
"CT1680041",NA,NA,NA,0.4
"CT1680051",0,81.5,8.6,0.39
"CT1680061",0,81.5,8.6,0.39
"CT1680071",0,81.5,8.6,0.39
"CT1686091",0,81.5,8.6,0.39
"CT1690021",0,82.6,7.9,0.39
"CT1690031",0,82.6,7.9,0.39
"CT1691171",0,82.6,7.9,0.39
"CT1698011",NA,NA,NA,0.39
"CT1698041",0,82.6,7.9,0.39
"CT1698051",0,82.6,7.9,0.39
"CT1699011",0,82.6,7.9,0.39
"CT1699081",NA,NA,NA,0.39
"RI1000009",0,81.4,7.5,0.45
"RI1000015",0,84,9.1,0.41
"RI1000016",0,80.8,9.5,0.39
"RI1000035",0,79.9,8.8,0.45
"RI1000040",0,78.7,7.1,0.39
"RI1000045",0,81.1,7.8,0.39
"RI1000098",0,80.1,7.5,0.39
"RI1559511",0,79.4,7.8,0.42
"RI1559512",0,80.2,8.7,0.44
"RI1559513",0,79.2,11.3,0.42
"RI1559517",0,80.5,8.2,0.4
"RI1559518",2,75.9,6.8,0.5
"RI1583825",0,83.6,7.3,0.46
"RI1592010",0,79.2,7.5,0.4
"RI1592012",0,81.6,8.2,0.43
"RI1592018",0,80.6,8.6,0.43
"RI1592020",0,88.5,7.3,0.46
"RI1592021",2,77.3,6.3,0.51
"RI1592022",0,83.7,8.4,0.4
"RI1592023",0,85.1,8.9,0.41
"RI1592024",2,78.7,6,0.48
"RI1615610",2,78.9,8.1,0.49
"RI1615614",2,79.3,9.6,0.48
"RI1615616",0,79.9,8.3,0.45
"RI1615619",0,81.1,9.3,0.42
"RI1615623",0,82.4,9.2,0.38
"RI1615624",0,80.9,8.2,0.4
"RI1615626",0,79.6,8.1,0.38
"RI1615627",0,78.6,7.8,0.43
"RI1647511",0,80.7,8.6,0.43
"RI1647512",0,80.7,8.6,0.43
"RI1647515",0,80.8,8,0.36
"RI1647516",0,81.1,7,0.41
"RI1647529",0,79.6,7.8,0.42
"RI1647530",1,81.4,8,0.44
"RI1858410",0,79.6,9,0.46
"RI1858411",0,88.3,7.4,0.46
"RI1858419",0,81.3,9.3,0.39
"RI1858421",0,84,7.4,0.39
"RI1858422",0,NA,1.1,0.4
"RI1858423",1,80.7,8,0.46
"RI1858428",0,82,7.5,0.41
"RI1858429",0,82.9,7.3,0.4
"RI1858430",0,82.5,9.4,0.35
"RI1858435",0,81.4,7.5,0.45
"RI1900020",0,78.1,8.2,0.4
"RI1900034",0,83.6,7.3,0.46
"RI1900042",0,83.3,9.3,0.42
"RI1900046",0,76.3,6.9,0.43
"RI1900051",0,78.5,8.3,0.4
"RI1900053",0,81.1,7.8,0.39
"RI2000053",0,81.1,7.3,0.44
"RI2000059",0,78.6,7.4,0.45
"RI2000083",0,77.3,9.9,0.45
"RI2000165",0,78.4,7,0.4
"RI2051311",0,79.6,8.1,0.4
"RI2519424",NA,NA,NA,0.45
"RI2585312",0,80.4,7.3,0.41
"RI2585313",0,76.1,6.7,0.37
"RI2674924",0,80.7,8.6,0.43
"RI2674925",0,80.7,8.6,0.43
"RI2674928",0,80.7,8.6,0.43
"RI2753326",NA,NA,NA,0.39
"RI2942525",0,78.4,7,0.38
"RI2943224",0,78.6,7.4,0.45
"RI2973130",0,83.6,7.3,0.46
"RI2980001",NA,NA,NA,0.4
"RI2980003",0,79.6,8.1,0.4
"RI2980017",0,79.9,8.8,0.45
"RI2980146",0,78.6,7.4,0.45
"RI2980323",0,81.7,8.1,0.45
"RI2980414",0,81.1,7.3,0.44
"RI2980423",0,81.1,7.8,0.39
"RI2980426",0,80.4,7.3,0.41
"RI2980447",0,81.1,7.8,0.39
"RI2980452",1,81.7,9.5,0.48
"RI2980453",2,80.3,6.9,0.47
"RI2980473",0,81.1,7.8,0.39
"RI2980475",NA,NA,NA,0.41
"RI2980476",0,81.8,8.1,0.47
"RI2980487",NA,NA,NA,0.41
"CT1250021",NA,NA,NA,0.52
"VT0005107",0,78.2,8.8,0.41
"VT0005532",0,78.6,7.9,0.42
